10  KCD,853
Akademisk Studenterkursus,645
Allerød  Gymnasium,51
Allikelund Gymnasium,768
Alssundgymnasiet Sønderborg,161
Aurehøj  Gymnasium,1
Bagsværd  Kostskole og Gymnasium,3
Ballerup tekniske gymnasium,543
Birkerød  Gymnasium og HF,52
Bjerringbro Gymnasium,266
Borupgaard Gymnasium,37
Brøndby  Gymnasium,38
Brønderslev Gymnasium og HF,281
Campus  Bornholm HHX & HTX,133
Campus  Bornholm STX & HF,137
Campus  Kujalleq,364
Christianshavns Gymnasium,5
CPH WEST  - Albertslund Gymnasium & HF,43
CPH WEST  – hhx Ishøj og CPH10,44
CPH WEST  – HTX Albertslund – ATG,45
CPH WEST  - htx Ishøj,46
CPH WEST  - Ishøj Gymnasium,47
CPH WEST  Handelsgymnasiet i Ballerup,48
Det frie  Gymnasium,40
Det  Kristne Gymnasium,228
Deutsches Gymnasium für  Nordschleswig,162
Dronninglund Gymnasium,292
Egedal  Gymnasium & HF,62
Egaa  Gymnasium,256
Erhvervsskolerne Aars hhx og  htx,529
Esbjerg  Gymnasium,181
ESNORD  Gym - Erhvervsgymnasier Helsingør,992
Espergærde Gymnasium og HF,57
EUC  NORD - HG,317
EUC  NORD - HHX,318
EUC  NORD - HTX Frederikshavn,319
EUC  NORD - HTX Hjørring,320
EUC  Nordvestsjælland Hovedskole,520
EUC  Sjælland - HTX Køge,677
EUC  Sjælland - HTX Næstved,678
EUX  Rødovre - Københavns Tekniske Skole,517
Falkonergårdens Gymnasium og HF,7
Fjerritslev Gymnasium,291
Folkekirkens Uddannelses- og  Videnscenter,568
Fredericia Gymnasium,201
Frederiksberg Gymnasium,8
Frederiksberg HF-kursus,351
Frederiksberg tekniske  gymnasium,545
Frederiksborg Gymnasium og hf,54
Frederikshavn Gymnasium &  HF-Kursus,282
Frederikshavn Handelsgymnasium,917
Frederikssund Gymnasium,55
Frederiksværk Gymnasium og HF,60
Faaborg  Gymnasium,150
Gammel  Hellerup Gymnasium,9
Gefion  Gymnasium,17
Gentofte HF,365
Gentofte Studenterkursus,304
Gladsaxe  Gymnasium,11
Gram  Efterskole,945
Grenaa  Gymnasium,241
Greve  Gymnasium,71
Gribskov  Gymnasium,61
GU-Nuuk,354
GUX -  Sisimiut,539
GU-Aasiaat,362
Haderslev Katedralskole,163
Handelsgymnasiet Vestfyn,511
Hasseris Gymnasium,283
Helsingør Gymnasium,53
Herlev  Gymnasium og HF,12
Herlufsholm Skole,111
Herning  Gymnasium,221
Herning  HF og VUC,355
HF  & VUC Nordsjælland Helsingør,532
HF  & VUC Nordsjælland Hillerød,533
HF-Centret Efterslægten,6
Himmelev  Gymnasium,75
Hjørring Gymnasium og HF,284
Holbæk  Handelsskole,541
Holstebro Gymnasium og HF,222
Horsens  Gymnasium,209
Horsens  Statsskole,202
Hou  Maritime Idrætsefterskole,544
HTX  Gastro-science,765
HTXSukkertoppen - Københavns Tekniske Gymnasium,518
HTX  Vibenhus - Københavns Tekniske Gymnasium,519
Hvidovre  Gymnasium og HF,2
Hvidovre Kommune,777
Høje  Taastrup Private Gymnasium,345
Høje-Taastrup Gymnasium,36
Høng  Gymnasium og HF,97
IBC  Fredericia Middelfart,942
IBC  Kolding,943
IBC  Aabenraa,941
Idrætsefterskolen Klintsøgaard,771
Ikast-Brande Gymnasium,223
Ingrid  Jespersens Grundskole,14
Ingrid  Jespersens Gymnasieskole,13
Johannesskolens Grundskole,15
Johannesskolens Gymnasium,16
K Nord  Frederikssund,238
K Nord  Hillerød,239
K Nord  Lyngby,240
Kalundborg Gymnasium og HF,92
Kolding  Gymnasium,203
Kværs  Idræts Friskole,483
Københavns Private Gymnasium,484
Københavns VUC,530
Københavns åbne Gymnasium,32
Køge  Gymnasium,72
Køge  Handelsgymnasium,131
Køge  Private Realskole Gymnasium,932
Langkaer Gymnasium/ HF/ IB World  School,242
Learnmark Horsens Handelsgymnasium  HHX,306
Learnmark Horsens Teknisk Gymnasium  HTX,305
Lyngby  tekniske gymnasium,546
Læreruddannelsen i Silkeborg,526
Læreruddannelsen i Skive,877
Mariagerfjord Gymnasium,285
Maribo  Gymnasium,112
Marie  Kruses Skole,58
Marselisborg Gymnasium,243
Middelfart Gymnasium,141
Midtfyns Gymnasium,955
Midtsjællands Gymnasium,91
Morsø  Gymnasium,261
Mulernes Legatskole,143
Munkensdam Gymnasium,207
N. Zahles Gymnasieskole,19
Nakskov  Gymnasium og HF,402
Niels  Steensens Gymnasium,20
Niuernermik Ilinniarfik Nuuk,988
Nordfyns Gymnasium,513
Nordsjællands Grundskole og  Gymnasium,63
Nyborg  Gymnasium,144
Nykøbing Katedralskole,114
Nærum  Gymnasium,31
Næstved  Gymnasium og HF,115
Nørre  Gymnasium,21
Nørresundby Gymnasium og HF,287
Odder  Gymnasium,254
Odense  Katedralskole,600
Odense  Tekniske Gymnasium,857
Odsherreds Gymnasium,96
Ordrup  Gymnasium,22
Oure  Kostgymnasium,152
Paderup  Gymnasium,253
Paul  Petersens Idrætsinstitut,135
Randers  Statsskole,245
Randlevskolen,914
Ribe  Katedralskole,184
Risskov  Gymnasium,246
Rosborg  Gymnasium og hf,204
Roskilde  Gymnasium,73
Roskilde  Katedralskole,76
Roskilde Tekniske Gymnasium,523
Roskilde Tekniske Skole - EUD,522
Rungsted  Gymnasium,59
Rybners  Gymnasium,182
Rysensteen Gymnasium,23
Rødkilde Gymnasium,205
Rødovre  Gymnasium,24
Rønde  Gymnasium,247
Sankt  Annæ Gymnasium,25
Sct. Knuds Gymnasium,590
SDU  Teoretisk Pædagogikum,500
Silkeborg Gymnasium,248
Skanderborg Gymnasium,249
Skanderborg-Odder Center for uddannelse  HF & VUC,560
Skanderborg-Odder Center for uddannelse  HG,558
Skanderborg-Odder Center for uddannelse  HHX,563
Skanderborg-Odder Center for uddannelse  HTX SOCU,569
Skive  Gymnasium og HF,262
Skive  Handelsskole,562
Skive  Teknisk Gymnasium,764
Skolerne i Oure Sport &  Performance,153
Slagelse  Gymnasium,93
Slotshaven Gymnasium,557
Solrød  Gymnasium,74
Sorø  Akademis Skole,94
Stenhus  Gymnasium og HF,95
Struer  Statsgymnasium,224
Studenterkurset i Sønderjylland,307
Støvring Gymnasium,286
Svendborg Gymnasium og HF,477
Sønderborg Statsskole,164
Søværnets Officersskole,531
Teknisk  Gymnasium Sønderjylland,427
Th. Langs HF & VUC,360
Thisted  Gymnasium & HF-kursus,263
TietgenSkolen,553
Tornbjerg Gymnasium,564
Tradium Mariagerfjord,567
Tradium Minervavej,566
Tradium Rådmands Boulevard,571
Tradium Vester Allé,572
Tørring  Gymnasium,208
Tårnby  Gymnasium,30
UCH  Handelsgymnasium,508
UCH  Teknisk Gymnasium,509
UCN  Teknologi og Business,669
UCVest,782
Varde  Gymnasium og HF-kursus,185
Varde  Handelsskole og Handelsgymnasium,902
Vejen  Gymnasium og HF,186
Vejle  Handelsskole,565
Vejlefjordskolen,206
Vestfyns Gymnasium,148
Vesthimmerlands Gymnasium og HF,288
Vestjysk  Gymnasium Tarm,78
VIA  Holstebro Pædagoguddannelsen,802
Viborg  Gymnasium og HF,264
Viborg  Handelsgymnasium,555
Viborg  Katedralskole,265
Viborg  Tekniske Gymnasium,556
Viby  Gymnasium,250
Viden  Djurs - VID Gymnasier,641
Virum  Gymnasium,33
Vordingborg Gymnasium & HF,116
VUC  Hvidovre-Amager Amager afd.,454
VUC  Hvidovre-Amager Hvidovre afd.,455
VUC  Lyngby,537
VUC  Vestegnen,536
VUC  Vestsjælland Nord,542
VUC.nu,411
VUF -  VoksenUddannelsescenter Frederiksberg,380
ZBC  Næstved,156
ZBC  Næstved EUD,157
ZBC  Ringsted,158
ZBC  Ringsted EUD,159
ZBC  Vordingborg,160
ZBC  Vordingborg EUD,155
Øregård  Gymnasium,34
Ørestad  Gymnasium,26
Aabenraa Statsskole,166
Aalborg  Handelsskole - Saxogade,551
Aalborg  Handelsskole - Turøgade,552
Aalborg  Katedralskole,289
Aalborg  Tekniske Gymnasium,524
Aalborghus Gymnasium,290
Århus  Akademi,311
Aarhus  Katedralskole,251
Aarhus  Private Gymnasium,627
